6  2.40895	2.826386e-01	9.950657e-02	2.186322e-02	5.704823e-01	
8  2.20749	3.215534e-01	1.423753e-01	2.252773e-02	4.872617e-01	
2  1.80393	2.963683e-01	1.002486e-01	2.186331e-02	5.560104e-01	
12  1.57823	2.891377e-01	5.878274e-02	2.186697e-02	6.046989e-01	
4  2.22411	3.195511e-01	8.801537e-02	2.208079e-02	5.445905e-01	
30  1.84972	2.726381e-01	6.472566e-02	2.220919e-02	6.145155e-01	
13  1.84142	2.808279e-01	3.860557e-02	2.224773e-02	6.323625e-01	
13  1.71958	3.044659e-01	1.053888e-01	2.197872e-02	5.425230e-01	
13  1.86042	3.169250e-01	1.126432e-01	2.185707e-02	5.230726e-01	
7  2.14127	3.008325e-01	1.201518e-01	2.185416e-02	5.316627e-01	
2  3.06099	3.015089e-01	1.981166e-02	2.187810e-02	6.312747e-01	
8  3.34449	2.486455e-01	5.892778e-02	2.233890e-02	6.440254e-01	
1  2.41152	2.689631e-01	4.423088e-03	2.206061e-02	6.788144e-01	
1  2.46359	2.726712e-01	9.229996e-02	2.221692e-02	5.868913e-01	
12  2.75675	2.795672e-01	1.266124e-01	2.261295e-02	5.448265e-01	
6  3.50865	3.334720e-01	9.944294e-02	2.254196e-02	5.182446e-01	
5  2.83547	3.434144e-01	1.569827e-01	2.185545e-02	4.522472e-01	
# After 17 accepted steps: update proposal with max(R-1) = 0.777069 and jumping factor = 2.400000 
9  2.34653	3.305680e-01	1.241938e-01	2.206518e-02	4.974289e-01	
1  1.63249	2.975994e-01	6.933218e-02	2.205451e-02	5.852823e-01	
3  2.02873	2.667276e-01	3.424046e-02	2.182010e-02	6.517526e-01	
5  2.6234	2.566354e-01	-3.150057e-03	2.200702e-02	6.988311e-01	
4  2.7941	2.599415e-01	-1.195990e-02	2.192918e-02	7.045032e-01	
2  2.76084	2.447165e-01	2.329638e-02	2.257642e-02	6.830722e-01	
5  2.62144	2.498169e-01	8.137041e-03	2.247608e-02	6.933482e-01	
4  2.74315	2.632297e-01	-1.015473e-02	2.192827e-02	6.994118e-01	
8  3.03998	2.495522e-01	-1.478502e-02	2.198956e-02	7.175871e-01	
3  3.53485	2.412314e-01	4.221748e-02	2.240518e-02	6.680065e-01	
6  2.21872	2.578639e-01	5.435203e-02	2.258219e-02	6.388567e-01	
1  2.70663	3.150070e-01	7.167163e-02	2.241777e-02	5.647495e-01	
2  1.90926	2.951809e-01	5.343691e-02	2.223242e-02	6.032112e-01	
4  1.62236	2.986978e-01	6.899127e-02	2.195160e-02	5.847473e-01	
10  2.24247	2.984261e-01	1.187422e-01	2.179588e-02	5.356048e-01	
2  1.83913	2.907445e-01	1.040504e-01	2.222659e-02	5.570467e-01	
6  3.83463	2.571664e-01	9.651338e-02	2.242707e-02	5.977283e-01	
8  1.68111	2.811054e-01	5.032332e-02	2.227742e-02	6.203030e-01	
13  2.35355	2.705751e-01	5.504646e-03	2.197870e-02	6.762980e-01	
6  2.63942	2.496402e-01	2.249429e-02	2.225002e-02	6.796565e-01	
2  1.5928	2.859489e-01	6.017044e-02	2.211816e-02	6.059568e-01	
# After 38 accepted steps: update proposal with max(R-1) = 0.777069 and jumping factor = 2.400000 
4  2.79098	3.230116e-01	1.755037e-01	2.250855e-02	4.527166e-01	
2  1.78898	2.696159e-01	6.219378e-02	2.254169e-02	6.193505e-01	
2  2.43797	2.545604e-01	2.713424e-02	2.213117e-02	6.703534e-01	
1  1.59614	2.974971e-01	9.013802e-02	2.210669e-02	5.644658e-01	
6  2.163	3.158986e-01	8.968395e-02	2.228518e-02	5.461324e-01	
1  2.31702	3.146653e-01	8.132646e-02	2.233780e-02	5.556094e-01	
4  2.56189	3.215396e-01	1.648923e-01	2.243800e-02	4.649525e-01	
2  2.90001	3.231649e-01	1.730417e-01	2.219178e-02	4.557103e-01	
2  1.94927	3.063847e-01	1.302323e-01	2.241035e-02	5.148272e-01	
1  1.60434	2.875108e-01	6.216476e-02	2.223667e-02	6.021443e-01	
2  1.97807	2.960649e-01	5.225856e-02	2.224056e-02	6.034880e-01	
4  1.65936	2.880278e-01	9.736371e-02	2.253734e-02	5.657781e-01	
8  2.34436	2.621964e-01	6.398972e-02	2.229472e-02	6.255082e-01	
8  2.4884	2.710751e-01	7.753615e-02	2.187980e-02	6.039804e-01	
5  1.755	3.115721e-01	8.693523e-02	2.185152e-02	5.541455e-01	
8  1.79736	3.119018e-01	1.110410e-01	2.186011e-02	5.296914e-01	
3  1.85922	3.096290e-01	8.600752e-02	2.218250e-02	5.563005e-01	
2  1.56943	2.870980e-01	8.224267e-02	2.250955e-02	5.818891e-01	
3  2.11378	2.942203e-01	5.455924e-02	2.257541e-02	6.023077e-01	
4  2.07283	2.876402e-01	3.974918e-02	2.236879e-02	6.241448e-01	
1  2.13107	3.210086e-01	1.356943e-01	2.198653e-02	4.956579e-01	
1  2.56925	2.620948e-01	1.515582e-03	2.230884e-02	6.880533e-01	
4  2.21747	2.615233e-01	1.579127e-02	2.212005e-02	6.747575e-01	
2  2.12687	2.708626e-01	7.945168e-02	2.231198e-02	6.013427e-01	
7  3.77859	2.307480e-01	-3.888470e-03	2.252884e-02	7.243285e-01	
1  2.53152	2.514088e-01	4.836265e-02	2.260708e-02	6.512474e-01	
1  1.78752	3.060212e-01	1.102402e-01	2.191345e-02	5.362574e-01	
1  3.09576	2.604511e-01	-2.247942e-02	2.181376e-02	7.147628e-01	
2  4.40967	2.503856e-01	-4.698140e-02	2.215421e-02	7.485939e-01	
1  3.78943	2.645709e-01	-3.347359e-02	2.191805e-02	7.214116e-01	
3  3.37052	2.526655e-01	-2.314184e-02	2.227633e-02	7.222105e-01	
1  3.29067	2.496023e-01	-2.229767e-02	2.216185e-02	7.246770e-01	
3  4.69716	2.511953e-01	-4.842050e-02	2.231799e-02	7.488691e-01	
6  5.18085	2.272364e-01	-5.408056e-02	2.262365e-02	7.778271e-01	
3  2.88597	2.537296e-01	-6.239179e-03	2.250633e-02	7.037463e-01	
5  2.78804	3.149442e-01	7.815064e-02	2.265692e-02	5.578162e-01	
1  3.84701	3.515335e-01	1.511032e-01	2.257418e-02	4.484532e-01	
4  4.86776	3.725599e-01	1.861510e-01	2.230760e-02	3.929555e-01	
1  2.53156	3.316079e-01	1.458342e-01	2.246137e-02	4.738918e-01	
2  1.59247	2.925803e-01	7.783294e-02	2.242452e-02	5.810003e-01	
2  1.9268	2.743779e-01	2.836248e-02	2.214892e-02	6.492693e-01	
5  1.63543	2.803296e-01	5.878559e-02	2.210647e-02	6.129862e-01	
1  1.98794	2.886492e-01	4.287530e-02	2.231907e-02	6.201172e-01	
6  1.61798	2.928565e-01	7.030507e-02	2.230141e-02	5.885182e-01	
7  1.66012	2.842020e-01	4.778539e-02	2.198964e-02	6.203666e-01	
1  1.96174	3.057952e-01	5.970824e-02	2.190352e-02	5.870369e-01	
1  1.67322	2.805715e-01	7.448657e-02	2.225550e-02	5.967210e-01	
1  3.12599	3.210056e-01	5.528507e-02	2.192887e-02	5.761948e-01	
3  3.00858	3.003644e-01	2.505163e-02	2.207231e-02	6.267592e-01	
4  1.95366	2.868574e-01	4.600211e-02	2.246791e-02	6.184603e-01	
9  2.48353	3.204238e-01	1.026454e-01	2.262760e-02	5.279052e-01	
1  2.11635	2.960991e-01	4.990848e-02	2.232975e-02	6.056110e-01	
4  2.08655	2.616191e-01	2.712310e-02	2.251218e-02	6.624818e-01	
1  2.88941	2.896938e-01	1.331696e-02	2.211300e-02	6.490765e-01	
7  3.13259	2.726422e-01	-1.610202e-02	2.186313e-02	6.960875e-01	
1  4.20235	2.890515e-01	-1.963170e-02	2.179471e-02	6.833559e-01	
3  3.96512	2.860428e-01	-9.441712e-03	2.217626e-02	6.753494e-01	
1  3.93607	2.792552e-01	-2.359927e-02	2.190908e-02	6.968724e-01	
16  2.07009	2.670838e-01	1.894467e-02	2.176080e-02	6.668205e-01	
2  2.42727	2.840415e-01	1.055109e-02	2.184239e-02	6.580800e-01	
3  2.46032	3.095481e-01	4.583897e-02	2.180757e-02	5.973608e-01	
1  1.68603	3.017281e-01	9.902164e-02	2.188132e-02	5.518385e-01	
1  2.04096	2.656808e-01	3.397958e-02	2.189458e-02	6.528992e-01	
5  3.17393	2.593152e-01	-2.215506e-02	2.196619e-02	7.152446e-01	
5  3.25554	2.832558e-01	-4.405864e-03	2.202438e-02	6.734290e-01	
