13  15.7057	3.544183e-01	-1.497349e-02	6.121893e-01	
5  3.54781	3.011500e-01	2.513600e-02	6.253481e-01	
5  2.48167	3.049195e-01	5.693825e-02	5.897764e-01	
1  3.23979	3.273114e-01	8.464037e-02	5.396823e-01	
6  1.90034	2.748003e-01	3.961309e-02	6.372207e-01	
9  2.0761	2.740775e-01	2.899266e-02	6.485640e-01	
3  2.26465	3.185284e-01	1.426796e-01	4.904261e-01	
1  2.46501	2.956046e-01	4.095843e-02	6.150711e-01	
1  3.63826	2.705634e-01	1.168283e-01	5.642424e-01	
2  2.40748	3.024674e-01	5.460327e-02	5.945634e-01	
2  2.3673	3.227618e-01	1.082206e-01	5.206517e-01	
7  1.8558	2.930919e-01	1.054807e-01	5.530615e-01	
4  3.10595	2.441193e-01	-2.493505e-03	7.100084e-01	
16  3.23947	2.609315e-01	-1.426738e-02	7.049700e-01	
4  3.69643	2.634522e-01	-2.222852e-02	7.104104e-01	
6  2.44785	2.758938e-01	1.657406e-02	6.591662e-01	
3  1.85404	2.779149e-01	7.726336e-02	5.964559e-01	
2  2.31833	2.737635e-01	1.902762e-02	6.588430e-01	
3  2.11637	2.692451e-01	7.012842e-02	6.122606e-01	
14  3.05635	2.543798e-01	-1.109555e-02	7.083498e-01	
2  2.89715	2.860419e-01	1.634071e-02	6.492515e-01	
11  3.90188	2.321739e-01	-4.619656e-03	7.240798e-01	
10  3.64431	2.429762e-01	-2.507632e-02	7.337343e-01	
7  2.43392	2.942114e-01	3.965672e-02	6.177659e-01	
6  2.06476	3.155571e-01	1.276125e-01	5.084645e-01	
1  2.34426	2.876039e-01	1.175877e-01	5.464425e-01	
1  2.07441	3.004042e-01	1.250471e-01	5.261828e-01	
4  1.97287	3.061001e-01	1.238076e-01	5.217264e-01	
5  1.68307	2.840332e-01	6.702668e-02	6.005742e-01	
7  2.83691	2.591478e-01	-4.158771e-03	6.966451e-01	
4  2.96317	3.105798e-01	5.457563e-02	5.864787e-01	
9  2.7115	2.665253e-01	2.156527e-03	6.829522e-01	
1  2.05819	2.687670e-01	2.923571e-02	6.536314e-01	
5  2.19908	3.142078e-01	1.394420e-01	4.979843e-01	
4  1.97	2.747487e-01	3.492262e-02	6.419627e-01	
1  2.40614	3.209639e-01	9.917630e-02	5.314939e-01	
1  2.37223	2.979557e-01	4.763860e-02	6.060398e-01	
2  3.54341	3.403519e-01	1.119680e-01	4.993142e-01	
5  2.35089	3.244797e-01	1.424249e-01	4.847294e-01	
1  2.69147	3.339083e-01	1.527340e-01	4.649918e-01	
1  4.75206	2.611265e-01	1.162698e-01	5.742378e-01	
1  2.89386	3.388681e-01	1.536253e-01	4.591407e-01	
1  3.03406	3.085509e-01	4.890579e-02	5.941774e-01	
# After 43 accepted steps: update proposal with max(R-1) = 0.508112 and jumping factor = 2.400000 
8  3.63953	3.150119e-01	4.793161e-02	5.886906e-01	
2  1.67411	2.902508e-01	8.429769e-02	5.770857e-01	
1  2.82213	2.613726e-01	-3.229193e-03	6.934907e-01	
3  1.75233	2.949788e-01	9.995361e-02	5.567017e-01	
6  2.32097	3.042876e-01	6.103076e-02	5.863157e-01	
1  2.36066	3.255129e-01	1.233201e-01	5.028012e-01	
1  2.38743	2.627466e-01	6.426265e-02	6.246249e-01	
10  2.04523	2.916421e-01	4.900084e-02	6.109911e-01	
1  2.4454	3.284073e-01	1.369702e-01	4.862566e-01	
7  1.71156	2.805297e-01	6.428094e-02	6.068234e-01	
5  3.48859	2.474382e-01	-2.258420e-02	7.267801e-01	
2  4.17725	3.026945e-01	1.656077e-02	6.323788e-01	
3  5.12377	3.532526e-01	1.055881e-01	4.927934e-01	
2  3.97563	3.480752e-01	1.219949e-01	4.815640e-01	
1  3.45867	3.095562e-01	4.135940e-02	6.007185e-01	
5  2.41171	3.267492e-01	1.241895e-01	5.006954e-01	
1  3.07689	3.425887e-01	1.545307e-01	4.545147e-01	
1  4.52994	3.673225e-01	1.988938e-01	3.854178e-01	
1  4.51482	3.454156e-01	2.275056e-01	3.787129e-01	
5  3.51263	2.840295e-01	1.371035e-03	6.662336e-01	
3  2.3208	2.894895e-01	3.605652e-02	6.260881e-01	
1  2.26973	2.904127e-01	3.899752e-02	6.222239e-01	
3  1.88525	2.812585e-01	8.715301e-02	5.832226e-01	
7  3.98218	2.758579e-01	1.335980e-01	5.421782e-01	
2  1.88456	3.007163e-01	1.150371e-01	5.358807e-01	
1  4.47708	2.544594e-01	-4.152128e-02	7.386960e-01	
2  4.08648	3.274236e-01	6.436240e-02	5.598481e-01	
4  2.68262	3.290731e-01	1.118574e-01	5.107036e-01	
1  1.94452	3.060869e-01	8.298830e-02	5.625589e-01	
10  2.51824	3.302465e-01	1.405264e-01	4.808612e-01	
1  1.6973	2.966344e-01	9.278381e-02	5.622159e-01	
2  3.90564	2.525643e-01	-3.204187e-02	7.311117e-01	
2  2.4946	2.690099e-01	1.010067e-02	6.725235e-01	
2  2.68034	3.207002e-01	1.634139e-01	4.675200e-01	
1  2.90507	3.378908e-01	1.640531e-01	4.496901e-01	
3  3.09058	3.253578e-01	1.797086e-01	4.465678e-01	
7  2.19207	2.771291e-01	9.291157e-02	5.815935e-01	
9  1.74235	2.823629e-01	7.829484e-02	5.909763e-01	
3  3.14756	3.431335e-01	1.708694e-01	4.376313e-01	
1  2.30361	3.005418e-01	5.445820e-02	5.966341e-01	
4  1.87605	2.711473e-01	4.671571e-02	6.337711e-01	
1  3.16052	3.109129e-01	1.702984e-01	4.704228e-01	
